City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.25,75,80,13.93,TF,1724458825
1,katsuura,35.1333,140.3,301.13,80,88,6.26,JP,1724458392
2,kanchanaburi,14.6333,99.1,298.43,94,99,1.43,TH,1724458826
3,bilibino,68.0546,166.4372,278.21,73,100,1.0,RU,1724458243
4,pontes e lacerda,-15.2261,-59.3353,301.59,33,6,2.23,BR,1724458409
5,jiangzi,28.95,89.6333,278.15,68,48,2.02,CN,1724458827
6,kasamwa,-2.85,32.4333,295.96,43,74,3.32,TZ,1724458828
7,port saint john's,-31.6229,29.5448,288.53,77,64,6.93,ZA,1724458233
8,bethel,41.3712,-73.414,294.0,78,0,2.06,US,1724458828
9,vadso,70.0744,29.7487,287.24,77,75,2.06,NO,1724458266
10,gisborne,-38.6533,178.0042,287.08,81,100,2.7,NZ,1724458829
11,mersing,2.4312,103.8405,297.1,94,20,2.06,MY,1724458829
12,lihue,21.9789,-159.3672,301.92,72,100,7.2,US,1724458830
13,haiku-pauwela,20.9219,-156.3051,301.21,77,40,11.83,US,1724458260
14,jamestown,42.097,-79.2353,291.95,68,0,2.57,US,1724458821
15,whitehorse,60.7161,-135.0538,286.1,58,95,1.28,CA,1724458232
16,socorro,31.6546,-106.3033,311.71,14,40,3.09,US,1724458831
17,margaret river,-33.95,115.0667,285.26,76,99,12.8,AU,1724458831
18,menaka,15.9182,2.4022,303.99,52,55,4.01,ML,1724458832
19,san patricio,28.017,-97.5169,305.12,54,80,6.65,US,1724458832
20,laguna,38.421,-121.4238,296.23,52,75,5.14,US,1724458282
21,kavaratti,10.5669,72.642,299.44,86,100,6.04,IN,1724458282
22,avarua,-21.2078,-159.775,298.18,69,75,5.66,CK,1724458272
23,iskateley,67.6803,53.1512,284.88,85,17,3.95,RU,1724458314
24,zacharo,37.4833,21.65,299.87,57,23,2.0,GR,1724458834
25,college,64.8569,-147.8028,283.75,85,100,4.12,US,1724458834
26,nookat,40.2671,72.6207,292.55,36,38,3.57,KG,1724458835
27,yellowknife,62.456,-114.3525,288.44,95,75,4.02,CA,1724458835
28,pisco,-13.7,-76.2167,289.18,82,20,5.66,PE,1724458350
29,adamstown,-25.066,-130.1015,292.05,67,96,5.81,PN,1724458836
30,san felipe,10.3399,-68.7425,296.62,88,100,1.06,VE,1724458836
31,puerto natales,-51.7236,-72.4875,276.88,95,96,1.53,CL,1724458836
32,flying fish cove,-10.4217,105.6791,297.97,88,100,5.66,CX,1724458837
33,bredasdorp,-34.5322,20.0403,283.02,94,0,2.96,ZA,1724458837
34,limassol,34.675,33.0333,302.14,83,0,1.54,CY,1724458837
35,enewetak,11.3474,162.3373,302.31,76,83,7.57,MH,1724458266
36,anadyr,64.75,177.4833,280.93,87,100,3.58,RU,1724458259
37,port alfred,-33.5906,26.891,294.06,40,76,6.29,ZA,1724458285
38,ziro,27.6333,93.8333,289.83,98,45,0.63,IN,1724458839
39,ushuaia,-54.8,-68.3,280.96,66,40,5.14,AR,1724458576
40,nemuro,43.3236,145.575,294.38,91,40,8.35,JP,1724458170
41,grytviken,-54.2811,-36.5092,270.79,85,20,3.91,GS,1724458840
42,wailua homesteads,22.0669,-159.378,301.59,75,100,7.2,US,1724458261
43,blackmans bay,-43.0167,147.3167,283.56,94,100,0.89,AU,1724458841
44,huarmey,-10.0681,-78.1522,290.23,82,74,4.21,PE,1724458841
45,puerto carreno,6.189,-67.4859,299.3,84,100,3.43,CO,1724458842
46,san-pedro,4.7485,-6.6363,296.76,90,100,4.02,CI,1724458842
47,tyrone,33.4712,-84.5972,298.92,61,0,0.89,US,1724458842
48,waitangi,-43.9535,-176.5597,285.83,90,100,4.92,NZ,1724458843
49,jiwani,25.05,61.7417,299.97,83,75,1.93,PK,1724458844
50,gillette,44.2911,-105.5022,304.83,22,0,8.49,US,1724458844
51,tazovsky,67.4667,78.7,283.16,90,97,2.78,RU,1724458844
52,flin flon,54.7682,-101.865,295.97,38,14,1.98,CA,1724458845
53,rapid city,44.0805,-103.231,306.09,33,0,10.28,US,1724458801
54,fenoarivo be,-18.4333,46.5667,286.93,69,0,3.21,MG,1724458845
55,puerto baquerizo moreno,-0.9,-89.6,292.71,79,67,5.61,EC,1724458808
56,guarapari,-20.6667,-40.4975,295.73,79,0,7.24,BR,1724458846
57,bima,-8.4667,118.7167,299.94,72,55,2.64,ID,1724458847
58,namibe,-15.1961,12.1522,291.48,85,8,3.22,AO,1724458367
59,wulingyuan,29.3494,110.5441,299.44,77,3,1.05,CN,1724458847
60,bogo,11.0517,124.0055,302.25,72,72,2.17,PH,1724458848
61,santo augusto,-27.8508,-53.7772,282.76,90,94,4.46,BR,1724458848
62,palikir - national government center,6.9248,158.1611,303.56,79,100,3.09,FM,1724458848
63,pacific grove,36.6177,-121.9166,292.97,79,0,2.57,US,1724458390
64,sao joao dos inhamuns,-6.0,-40.2833,298.98,45,36,6.35,BR,1724458849
65,orsk,51.2049,58.5668,283.65,93,0,4.0,RU,1724458849
66,saint-philippe,-21.3585,55.7679,294.05,57,2,5.16,RE,1724458850
67,dzuunharaa,48.8523,106.4579,285.96,83,1,1.2,MN,1724458850
68,keflavik,64.0049,-22.5624,281.39,76,75,8.75,IS,1724458850
